Title,Author,ISBN,ISBN13,My Rating,Date Read,Date Added,Bookshelves,Exclusive Shelf,Original Entry
Until Death Do Us Part,Rachel Woods,1943685533,9781943685530,,2023/01/01,2023/01/01,read,read,Until Death do us part Rachel woods
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,1683244648,9781501161933,,2023/01/03,2023/01/03,read,read,The Seven Husbands of Evelyn Hugo Taylor Jenkins Reid
Things We Do in the Dark,Jennifer Hillier,1250889685,9798885784078,,2023/01/05,2023/01/05,read,read,Things we do in the dark Jennifer Hillier
The Boardwalk Bookshop,Susan Mallery,1432896148,9781432896140,,2023/01/12,2023/01/12,read,read,The boardwalk bookshop Susan Mallery
The mountain between us,Charles Martin,0767927001,9780767927000,,2023/01/15,2023/01/15,read,read,The mountain between us Charles Martin
A Quiet Retreat,Kiersten Modglin,1956538313,9781956538328,,2023/01/20,2023/01/20,read,read,A quiet retreat kiersten Modglin
Things We Never Got Over,Lucy Score,146422434X,9781945631849,,2023/01/22,2023/01/22,read,read,things we never got over Lucy Score
You've Reached Sam,Dustin Thao,,9786191711468,,2023/01/27,2023/01/27,read,read,you’ve reached Sam Dustin Thao
Beach Read,Emily Henry,838321071X,9781984806734,,2023/02/01,2023/02/01,read,read,Beach Read Emily Henry
It Ends With Us,Colleen Hoover,,9788501113498,,2023/02/03,2023/02/03,read,read,It ends with us Colleen Hoover
The Wives,Tarryn Fisher,1094004405,9781094004402,,2023/02/05,2023/02/05,read,read,The Wives Tarryn Fisher
Find Me,Alafair Burke,1799951642,9781799951643,,2023/02/08,2023/02/08,read,read,Find Me Alafair Burke
Such a Quiet Place,Megan Miranda,198214730X,9781838950781,,2023/02/10,2023/02/10,read,read,Such a quiet place Megan Miranda
The safest lies,Megan Miranda,,9780241344415,,2023/02/13,2023/02/13,read,read,The safest lies Megan Miranda
All the missing girls,Megan Miranda,0606400257,9781501146244,,2023/02/15,2023/02/15,read,read,All the missing girls Megan Miranda
Family of Liars,E. Lockhart,1432898965,9781471412271,,2023/02/17,2023/02/17,read,read,Family of Liars E. Lockhart
The murder house,James Patterson,,9781455567737,,2023/02/20,2023/02/20,read,read,The murder House James Patterson
The Last House Guest,Megan Miranda,1432866176,9781786492913,,2023/02/22,2023/02/22,read,read,The Last house guest Megan Miranda
The Kind Worth Killing,Peter Swanson,,9780062267542,,2023/03/01,2023/03/01,read,read,The kind worth killing Peter Swanson
